ChurnProbability,TopRiskFactor,RetentionRecommendation
0.00021432113,ChurnBinary,Contact customer proactively
0.00069980015,ChurnBinary,Contact customer proactively
0.00018130933,ChurnBinary,Contact customer proactively
0.0005506177,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00047888665,ChurnBinary,Contact customer proactively
0.000465465,ChurnBinary,Contact customer proactively
0.0002473925,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.99914,ChurnBinary,Contact customer proactively
0.0004227772,ChurnBinary,Contact customer proactively
0.0002075767,ChurnBinary,Contact customer proactively
0.00027320362,ChurnBinary,Contact customer proactively
0.99943405,ChurnBinary,Contact customer proactively
0.00027708863,ChurnBinary,Contact customer proactively
0.00016103535,ChurnBinary,Contact customer proactively
0.00015950973,ChurnBinary,Contact customer proactively
0.0006782535,ChurnBinary,Contact customer proactively
0.00027237914,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.9994789,ChurnBinary,Contact customer proactively
0.000434529,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.0003090771,ChurnBinary,Contact customer proactively
0.00029290025,ChurnBinary,Contact customer proactively
0.9992993,ChurnBinary,Contact customer proactively
0.9992415,ChurnBinary,Contact customer proactively
0.00016521425,ChurnBinary,Contact customer proactively
0.9994789,ChurnBinary,Contact customer proactively
0.00045142078,ChurnBinary,Contact customer proactively
0.00049081596,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9994789,ChurnBinary,Contact customer proactively
0.0003481476,ChurnBinary,Contact customer proactively
0.99922323,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.99895775,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00072613836,ChurnBinary,Contact customer proactively
0.00041320224,ChurnBinary,Contact customer proactively
0.00034001272,ChurnBinary,Contact customer proactively
0.00022046105,ChurnBinary,Contact customer proactively
0.99944156,ChurnBinary,Contact customer proactively
0.00072613836,ChurnBinary,Contact customer proactively
0.00040541048,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.998968,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9994715,ChurnBinary,Contact customer proactively
0.0003201954,ChurnBinary,Contact customer proactively
0.0004349494,ChurnBinary,Contact customer proactively
0.00049311685,ChurnBinary,Contact customer proactively
0.99945956,ChurnBinary,Contact customer proactively
0.0002163051,ChurnBinary,Contact customer proactively
0.00018626945,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9981883,ChurnBinary,Contact customer proactively
0.00021688396,ChurnBinary,Contact customer proactively
0.0002901907,ChurnBinary,Contact customer proactively
0.99918264,ChurnBinary,Contact customer proactively
0.9993001,ChurnBinary,Contact customer proactively
0.99905616,ChurnBinary,Contact customer proactively
0.9986285,ChurnBinary,Contact customer proactively
0.99817455,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00016521425,ChurnBinary,Contact customer proactively
0.99934536,ChurnBinary,Contact customer proactively
0.00021688396,ChurnBinary,Contact customer proactively
0.00018130933,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.0002485382,ChurnBinary,Contact customer proactively
0.99916565,ChurnBinary,Contact customer proactively
0.00034872457,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.99842095,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.00047862472,ChurnBinary,Contact customer proactively
0.00070010836,ChurnBinary,Contact customer proactively
0.9992291,ChurnBinary,Contact customer proactively
0.99938023,ChurnBinary,Contact customer proactively
0.00023671876,ChurnBinary,Contact customer proactively
0.99919945,ChurnBinary,Contact customer proactively
0.0003838059,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.99934536,ChurnBinary,Contact customer proactively
0.99925023,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.0005779198,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9993498,ChurnBinary,Contact customer proactively
0.00032839915,ChurnBinary,Contact customer proactively
0.99944204,ChurnBinary,Contact customer proactively
0.9994562,ChurnBinary,Contact customer proactively
0.00045594544,ChurnBinary,Contact customer proactively
0.9991418,ChurnBinary,Contact customer proactively
0.99901867,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00024682024,ChurnBinary,Contact customer proactively
0.00017426015,ChurnBinary,Contact customer proactively
0.00024506229,ChurnBinary,Contact customer proactively
0.00031035888,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.0006570165,ChurnBinary,Contact customer proactively
0.00029043402,ChurnBinary,Contact customer proactively
0.00051008334,ChurnBinary,Contact customer proactively
0.9993498,ChurnBinary,Contact customer proactively
0.00021331098,ChurnBinary,Contact customer proactively
0.99936897,ChurnBinary,Contact customer proactively
0.00043656383,ChurnBinary,Contact customer proactively
0.00021148672,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00020400056,ChurnBinary,Contact customer proactively
0.9994729,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00017426015,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.99913114,ChurnBinary,Contact customer proactively
0.00036321438,ChurnBinary,Contact customer proactively
0.9993736,ChurnBinary,Contact customer proactively
0.0002605275,ChurnBinary,Contact customer proactively
0.9991109,ChurnBinary,Contact customer proactively
0.99880624,ChurnBinary,Contact customer proactively
0.00024948764,ChurnBinary,Contact customer proactively
0.00021739182,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00036549784,ChurnBinary,Contact customer proactively
0.00015950973,ChurnBinary,Contact customer proactively
0.00025726092,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.99904746,ChurnBinary,Contact customer proactively
0.00023484231,ChurnBinary,Contact customer proactively
0.0002432579,ChurnBinary,Contact customer proactively
0.0006535455,ChurnBinary,Contact customer proactively
0.00017426015,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00024343842,ChurnBinary,Contact customer proactively
0.00031035888,ChurnBinary,Contact customer proactively
0.99908686,ChurnBinary,Contact customer proactively
0.00043253723,ChurnBinary,Contact customer proactively
0.00043079603,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.0006495982,ChurnBinary,Contact customer proactively
0.00020420334,ChurnBinary,Contact customer proactively
0.0004072275,ChurnBinary,Contact customer proactively
0.9994789,ChurnBinary,Contact customer proactively
0.00045205338,ChurnBinary,Contact customer proactively
0.0006570165,ChurnBinary,Contact customer proactively
0.9992399,ChurnBinary,Contact customer proactively
0.9993037,ChurnBinary,Contact customer proactively
0.999124,ChurnBinary,Contact customer proactively
0.00022911883,ChurnBinary,Contact customer proactively
0.00018104812,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00021293627,ChurnBinary,Contact customer proactively
0.9988986,ChurnBinary,Contact customer proactively
0.00017926916,ChurnBinary,Contact customer proactively
0.99876094,ChurnBinary,Contact customer proactively
0.00024416577,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00043457147,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.0002560565,ChurnBinary,Contact customer proactively
0.99903,ChurnBinary,Contact customer proactively
0.00059927936,ChurnBinary,Contact customer proactively
0.0005623823,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00038575826,ChurnBinary,Contact customer proactively
0.00025726092,ChurnBinary,Contact customer proactively
0.99941146,ChurnBinary,Contact customer proactively
0.00017709112,ChurnBinary,Contact customer proactively
0.9994789,ChurnBinary,Contact customer proactively
0.99917066,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00032961243,ChurnBinary,Contact customer proactively
0.00025726092,ChurnBinary,Contact customer proactively
0.9992442,ChurnBinary,Contact customer proactively
0.000225748,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00032250874,ChurnBinary,Contact customer proactively
0.0005328442,ChurnBinary,Contact customer proactively
0.9993943,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00045905708,ChurnBinary,Contact customer proactively
0.0004551354,ChurnBinary,Contact customer proactively
0.0003847562,ChurnBinary,Contact customer proactively
0.00021316764,ChurnBinary,Contact customer proactively
0.0004840576,ChurnBinary,Contact customer proactively
0.0004326187,ChurnBinary,Contact customer proactively
0.00038418898,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.00023994433,ChurnBinary,Contact customer proactively
0.00032839915,ChurnBinary,Contact customer proactively
0.00018450253,ChurnBinary,Contact customer proactively
0.00025726092,ChurnBinary,Contact customer proactively
0.00034335125,ChurnBinary,Contact customer proactively
0.00041420694,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9985763,ChurnBinary,Contact customer proactively
0.0004796327,ChurnBinary,Contact customer proactively
0.9989023,ChurnBinary,Contact customer proactively
0.00015950973,ChurnBinary,Contact customer proactively
0.00017738654,ChurnBinary,Contact customer proactively
0.00029412116,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00056269084,ChurnBinary,Contact customer proactively
0.99935,ChurnBinary,Contact customer proactively
0.9985489,ChurnBinary,Contact customer proactively
0.0002326247,ChurnBinary,Contact customer proactively
0.00021739182,ChurnBinary,Contact customer proactively
0.00031683146,ChurnBinary,Contact customer proactively
0.00023882095,ChurnBinary,Contact customer proactively
0.0006047218,ChurnBinary,Contact customer proactively
0.0002401004,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00026175298,ChurnBinary,Contact customer proactively
0.9993954,ChurnBinary,Contact customer proactively
0.00072613836,ChurnBinary,Contact customer proactively
0.00026500938,ChurnBinary,Contact customer proactively
0.99935716,ChurnBinary,Contact customer proactively
0.00046366733,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.9994789,ChurnBinary,Contact customer proactively
0.99918383,ChurnBinary,Contact customer proactively
0.00042860844,ChurnBinary,Contact customer proactively
0.00021739182,ChurnBinary,Contact customer proactively
0.0004916574,ChurnBinary,Contact customer proactively
0.99934894,ChurnBinary,Contact customer proactively
0.99937797,ChurnBinary,Contact customer proactively
0.00016103535,ChurnBinary,Contact customer proactively
0.00023484231,ChurnBinary,Contact customer proactively
0.9991967,ChurnBinary,Contact customer proactively
0.9990736,ChurnBinary,Contact customer proactively
0.99945074,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.00015950973,ChurnBinary,Contact customer proactively
0.0004804495,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00025833896,ChurnBinary,Contact customer proactively
0.00030427516,ChurnBinary,Contact customer proactively
0.00018505186,ChurnBinary,Contact customer proactively
0.9991535,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.0004464049,ChurnBinary,Contact customer proactively
0.00026599027,ChurnBinary,Contact customer proactively
0.00039721103,ChurnBinary,Contact customer proactively
0.0004596874,ChurnBinary,Contact customer proactively
0.00025371165,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00033331214,ChurnBinary,Contact customer proactively
0.9994729,ChurnBinary,Contact customer proactively
0.9988176,ChurnBinary,Contact customer proactively
0.9994173,ChurnBinary,Contact customer proactively
0.00017738654,ChurnBinary,Contact customer proactively
0.00045125256,ChurnBinary,Contact customer proactively
0.0006084907,ChurnBinary,Contact customer proactively
0.00054675154,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.0004871487,ChurnBinary,Contact customer proactively
0.00024078379,ChurnBinary,Contact customer proactively
0.00021189748,ChurnBinary,Contact customer proactively
0.00070010836,ChurnBinary,Contact customer proactively
0.99950564,ChurnBinary,Contact customer proactively
0.0005400095,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.0002605275,ChurnBinary,Contact customer proactively
0.0004640956,ChurnBinary,Contact customer proactively
0.00025833896,ChurnBinary,Contact customer proactively
0.0005587502,ChurnBinary,Contact customer proactively
0.00017376519,ChurnBinary,Contact customer proactively
0.0004521441,ChurnBinary,Contact customer proactively
0.9994498,ChurnBinary,Contact customer proactively
0.9986965,ChurnBinary,Contact customer proactively
0.00019931326,ChurnBinary,Contact customer proactively
0.99935,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00043073384,ChurnBinary,Contact customer proactively
0.00024682752,ChurnBinary,Contact customer proactively
0.0002075767,ChurnBinary,Contact customer proactively
0.0002579474,ChurnBinary,Contact customer proactively
0.00021456403,ChurnBinary,Contact customer proactively
0.00033020813,ChurnBinary,Contact customer proactively
0.00046591894,ChurnBinary,Contact customer proactively
0.998536,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00018504074,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9991418,ChurnBinary,Contact customer proactively
0.0006493655,ChurnBinary,Contact customer proactively
0.00017738654,ChurnBinary,Contact customer proactively
0.99946505,ChurnBinary,Contact customer proactively
0.00027637256,ChurnBinary,Contact customer proactively
0.00021179185,ChurnBinary,Contact customer proactively
0.00025171496,ChurnBinary,Contact customer proactively
0.00031391918,ChurnBinary,Contact customer proactively
0.00025712946,ChurnBinary,Contact customer proactively
0.00072800077,ChurnBinary,Contact customer proactively
0.0006493655,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00021175951,ChurnBinary,Contact customer proactively
0.00020734109,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00021652608,ChurnBinary,Contact customer proactively
0.00017987049,ChurnBinary,Contact customer proactively
0.9991412,ChurnBinary,Contact customer proactively
0.9994789,ChurnBinary,Contact customer proactively
0.00051931106,ChurnBinary,Contact customer proactively
0.0006559429,ChurnBinary,Contact customer proactively
0.9992461,ChurnBinary,Contact customer proactively
0.00025833896,ChurnBinary,Contact customer proactively
0.0003890147,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9983821,ChurnBinary,Contact customer proactively
0.0006056349,ChurnBinary,Contact customer proactively
0.00017758504,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.000425583,ChurnBinary,Contact customer proactively
0.9986047,ChurnBinary,Contact customer proactively
0.00016103535,ChurnBinary,Contact customer proactively
0.00017926916,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.999371,ChurnBinary,Contact customer proactively
0.00025726092,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.0001721428,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.99951303,ChurnBinary,Contact customer proactively
0.00036666155,ChurnBinary,Contact customer proactively
0.9991346,ChurnBinary,Contact customer proactively
0.999516,ChurnBinary,Contact customer proactively
0.99814963,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.9993799,ChurnBinary,Contact customer proactively
0.00025944007,ChurnBinary,Contact customer proactively
0.9992099,ChurnBinary,Contact customer proactively
0.00021378783,ChurnBinary,Contact customer proactively
0.99816763,ChurnBinary,Contact customer proactively
0.0002818486,ChurnBinary,Contact customer proactively
0.0002901907,ChurnBinary,Contact customer proactively
0.00015802041,ChurnBinary,Contact customer proactively
0.0002810128,ChurnBinary,Contact customer proactively
0.00026674604,ChurnBinary,Contact customer proactively
0.00054455263,ChurnBinary,Contact customer proactively
0.0002548521,ChurnBinary,Contact customer proactively
0.999491,ChurnBinary,Contact customer proactively
0.9993781,ChurnBinary,Contact customer proactively
