SeniorCitizen,tenure,MonthlyCharges,TotalCharges,ChurnBinary,ARPM,CLV_proxy,ServiceCount,ContractRiskScore,HighRiskFlag,ElectronicCheckFlag,NewCustomerFlag,LongTermCustomerFlag,PremiumCustomerFlag,TotalRiskScore,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureSegment_Established,TenureSegment_Loyal,TenureSegment_New,ChargesSegment_Low,ChargesSegment_Medium,ChargesSegment_Premium,PredictedChurn,ChurnProbability,TopRiskFactor,RetentionRecommendation
0,72,114.05,8468.2,0,117.6138888888889,8211.6,9,1,0,0,0,1,1,1,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,True,False,False,False,True,0,0.00021432113,ChurnBinary,Contact customer proactively
1,8,100.15,908.55,0,113.56875,801.2,6,3,1,0,0,0,1,4,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,0,0.00069980015,ChurnBinary,Contact customer proactively
0,41,78.35,3211.2,0,78.32195121951219,3212.35,7,2,0,0,0,1,0,2,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,0,0.00018130933,ChurnBinary,Contact customer proactively
0,18,78.2,1468.75,0,81.59722222222223,1407.6,4,3,0,1,0,0,0,4,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.0005506177,ChurnBinary,Contact customer proactively
0,72,82.65,5919.35,0,82.21319444444445,5950.8,8,1,0,0,0,1,0,1,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,0,0.00015802041,ChurnBinary,Contact customer proactively
0,21,99.85,1992.55,0,94.88333333333333,2096.85,6,3,0,0,0,0,1,3,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,0,0.00047888665,ChurnBinary,Contact customer proactively
0,21,99.15,1956.4,0,93.16190476190476,2082.15,6,3,0,0,0,0,1,3,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0,0.000465465,ChurnBinary,Contact customer proactively
0,19,24.1,439.2,0,23.11578947368421,457.9,2,3,0,0,0,0,0,3,True,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,0,0.0002473925,ChurnBinary,Contact customer proactively
0,61,19.75,1311.6,0,21.50163934426229,1204.75,1,1,0,0,0,1,0,1,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,0,0.00015802041,ChurnBinary,Contact customer proactively
1,17,45.05,770.6,1,45.32941176470588,765.8499999999999,2,3,0,1,0,0,0,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1,0.99914,ChurnBinary,Contact customer proactively
0,70,106.05,7554.05,0,107.915,7423.5,7,3,0,1,0,1,1,4,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,0,0.0004227772,ChurnBinary,Contact customer proactively
1,72,114.85,8317.95,0,115.52708333333334,8269.199999999999,9,1,0,0,0,1,1,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,0,0.0002075767,ChurnBinary,Contact customer proactively
0,49,30.2,1453.1,0,29.655102040816324,1479.8,2,3,0,0,0,1,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0,0.00027320362,ChurnBinary,Contact customer proactively
1,11,84.8,906.85,1,82.44090909090909,932.8,4,3,1,0,0,0,0,4,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,1,0.99943405,ChurnBinary,Contact customer proactively
0,19,48.8,953.65,0,50.19210526315789,927.2,3,3,0,0,0,0,0,3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,0.00027708863,ChurnBinary,Contact customer proactively
0,72,84.5,6130.85,0,85.15069444444445,6084.0,4,1,0,0,0,1,0,1,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,0,0.00016103535,ChurnBinary,Contact customer proactively
0,8,19.5,159.35,0,19.91875,156.0,1,1,0,0,0,0,0,1,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,0,0.00015950973,ChurnBinary,Contact customer proactively
0,15,91.0,1430.05,0,95.33666666666666,1365.0,5,3,0,1,0,0,1,4,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0,0.0006782535,ChurnBinary,Contact customer proactively
0,67,105.7,6816.95,0,101.7455223880597,7081.900000000001,7,2,0,0,0,1,1,2,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,0,0.00027237914,ChurnBinary,Contact customer proactively
0,26,35.4,978.6,0,37.63846153846154,920.4,3,2,0,0,0,0,0,2,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,0.0001721428,ChurnBinary,Contact customer proactively
1,2,74.85,156.4,1,78.2,149.7,3,3,1,0,1,0,0,5,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,1,0.9994789,ChurnBinary,Contact customer proactively
0,21,28.5,629.35,0,29.969047619047625,598.5,2,3,0,1,0,0,0,4,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,0.000434529,ChurnBinary,Contact customer proactively
0,49,20.05,923.1,0,18.838775510204083,982.45,1,2,0,0,0,1,0,2,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,0,0.0001721428,ChurnBinary,Contact customer proactively
0,21,19.8,350.1,0,16.67142857142857,415.8,1,2,0,0,0,0,0,2,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,0,0.00017376519,ChurnBinary,Contact customer proactively
0,51,69.15,3649.6,0,71.56078431372549,3526.65,2,3,0,0,0,1,0,3,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,0,0.0003090771,ChurnBinary,Contact customer proactively
1,16,54.55,825.1,0,51.56875,872.8,4,3,0,0,0,0,0,3,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0.00029290025,ChurnBinary,Contact customer proactively
0,22,89.25,1907.85,1,86.72045454545454,1963.5,4,3,0,1,0,0,0,4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0.9992993,ChurnBinary,Contact customer proactively
0,13,102.25,1359.0,1,104.53846153846152,1329.25,6,3,0,0,0,0,1,3,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,1,0.9992415,ChurnBinary,Contact customer proactively
0,43,25.1,1070.15,0,24.887209302325584,1079.3,2,1,0,1,0,1,0,2,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False,0,0.00016521425,ChurnBinary,Contact customer proactively
0,3,89.45,240.45,1,80.14999999999999,268.35,4,3,1,1,1,0,0,6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,1,0.9994789,ChurnBinary,Contact customer proactively
1,54,90.05,4931.8,0,91.32962962962964,4862.7,5,3,0,1,0,1,1,4,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,0,0.00045142078,ChurnBinary,Contact customer proactively
